iter	RMSE
0	13.88550808
1	12.9948338
2	12.15807038
3	11.41610927
4	10.74886278
5	10.25754577
6	9.721805013
7	9.25572477
8	8.866181283
9	8.469328019
10	8.094183793
11	7.789035615
12	7.54670764
13	7.287960671
14	7.05972283
15	6.884652858
16	6.708971864
17	6.546616659
18	6.401707162
19	6.292906488
20	6.191078005
21	6.100668748
22	6.000090012
23	5.917705427
24	5.84457307
25	5.788070708
26	5.725270492
27	5.664077595
28	5.616119031
29	5.570559179
30	5.525254852
31	5.485942286
32	5.450631822
33	5.422421023
34	5.388379799
35	5.355387569
36	5.328437293
37	5.306903618
38	5.285433404
39	5.267101362
40	5.251095649
41	5.237584004
42	5.217408918
43	5.206995408
44	5.193572681
45	5.171953246
46	5.156819442
47	5.138035206
48	5.123789848
49	5.10348292
50	5.092919557
51	5.074086188
52	5.061655743
53	5.039548991
54	5.036718343
55	5.021933856
56	5.015169804
57	4.994686175
58	4.98355802
59	4.969852264
60	4.959291045
61	4.944132475
62	4.936412547
63	4.925435618
64	4.920717592
65	4.908644991
66	4.899357564
67	4.887030902
68	4.875666687
69	4.863171197
70	4.853253942
71	4.84513027
72	4.833654152
73	4.823714406
74	4.817732191
75	4.808628768
76	4.799041713
77	4.797532726
78	4.785437472
79	4.778245253
80	4.773870799
81	4.765987613
82	4.760827165
83	4.751082412
84	4.747591244
85	4.745843976
86	4.733820276
87	4.716522221
88	4.705154128
89	4.704120683
90	4.694937858
91	4.683298107
92	4.675841972
93	4.665476304
94	4.658359397
95	4.653286038
96	4.641688371
97	4.640772665
98	4.624096714
99	4.617338508
