iter	RMSE
0	14.48493118
1	14.10753779
2	13.75995477
3	13.39697697
4	13.06091514
5	12.78207553
6	12.4771945
7	12.20728412
8	11.92210235
9	11.62600095
10	11.3419247
11	11.11152532
12	10.86018416
13	10.62617658
14	10.397811
15	10.15599984
16	9.949212914
17	9.742566634
18	9.541592348
19	9.35461992
20	9.190132446
21	9.02226916
22	8.867177555
23	8.702298554
24	8.554784364
25	8.416081068
26	8.283443446
27	8.163113868
28	8.038348975
29	7.919962827
30	7.818663228
31	7.698487763
32	7.59121374
33	7.496709109
34	7.398388269
35	7.30254599
36	7.214485945
37	7.135587681
38	7.05112962
39	6.978623967
40	6.900769299
41	6.829642285
42	6.767971114
43	6.710570875
44	6.645697918
45	6.591333731
46	6.532993854
47	6.485910697
48	6.433135582
49	6.378296978
50	6.333736961
51	6.291487376
52	6.244008494
53	6.199626516
54	6.156652064
55	6.118292371
56	6.076956994
57	6.041375071
58	6.009301421
59	5.979510257
60	5.951409184
61	5.926695486
62	5.897908724
63	5.869936386
64	5.839975557
65	5.812349803
66	5.786739704
67	5.761824813
68	5.739778544
69	5.714398508
70	5.692435743
71	5.673931118
72	5.655986905
73	5.635434513
74	5.62076446
75	5.604635122
76	5.588034074
77	5.566934079
78	5.547705346
79	5.530961803
80	5.520557276
81	5.504093503
82	5.489325775
83	5.47500487
84	5.469279582
85	5.456488347
86	5.450990455
87	5.439125165
88	5.427097628
89	5.417564989
90	5.408068442
91	5.396664571
92	5.385200814
93	5.373280716
94	5.363935789
95	5.355381631
96	5.344944619
97	5.335842689
98	5.326407229
99	5.319530302
100	5.311165839
101	5.301772141
102	5.292133031
103	5.284810897
104	5.279224549
105	5.273561989
106	5.267290554
107	5.258921763
108	5.249322667
109	5.240401579
110	5.229704811
111	5.219884677
112	5.21297316
113	5.207052993
114	5.201567523
115	5.195719565
116	5.190310716
117	5.183163625
118	5.17741336
119	5.172611423
120	5.16735758
121	5.163324053
122	5.157024049
123	5.147214366
124	5.144498038
125	5.13994859
126	5.133478194
127	5.129352569
128	5.123238626
129	5.119550103
130	5.112086016
131	5.109184122
132	5.102043062
133	5.09837397
134	5.094093873
135	5.089320879
136	5.08470316
137	5.079648302
138	5.07377751
139	5.068395506
140	5.062906146
141	5.058639354
142	5.052547385
143	5.045930898
144	5.040083215
145	5.035899101
146	5.030579607
147	5.026840374
148	5.022591128
149	5.022238735
150	5.017733634
151	5.013955487
152	5.007385692
153	5.004450907
154	4.999264844
155	4.992956389
156	4.988416727
157	4.982187906
158	4.97956423
159	4.975004832
160	4.968899834
161	4.964164267
162	4.957322293
163	4.952637321
164	4.948493852
165	4.946029316
166	4.941934339
167	4.939245715
168	4.933364539
169	4.928853589
170	4.926526959
171	4.923620906
172	4.917578405
173	4.913819737
174	4.909622556
175	4.907013417
176	4.902329988
177	4.899951352
178	4.894877434
179	4.892278796
180	4.887623936
181	4.883089383
182	4.87850322
183	4.872143524
184	4.869390399
185	4.866120949
186	4.862755483
187	4.858925516
188	4.855948932
189	4.851576296
190	4.84636664
191	4.844262262
192	4.84030995
193	4.833662858
194	4.831570211
195	4.824933759
196	4.82108334
197	4.818638332
198	4.817535623
199	4.813869006
200	4.810663189
201	4.808211896
202	4.805724781
203	4.803186647
204	4.798418239
205	4.7942168
206	4.793712187
207	4.790688163
208	4.786422337
209	4.784910521
210	4.778741508
211	4.773934314
212	4.771688308
213	4.768032693
214	4.761058497
215	4.7537801
216	4.748291211
217	4.747503663
218	4.743324624
219	4.739466663
220	4.73360415
221	4.726650827
222	4.722104137
223	4.72152855
224	4.718895951
225	4.716833634
226	4.716223181
227	4.712104426
228	4.708391924
229	4.707603854
230	4.702016131
231	4.697408495
232	4.692882288
233	4.690617972
234	4.686003188
235	4.680091967
236	4.676739317
237	4.674763256
238	4.668658447
239	4.664175508
240	4.659777837
241	4.656781088
242	4.655851128
243	4.651788071
244	4.651138929
245	4.647262298
246	4.643110844
247	4.638604728
248	4.636872108
249	4.634193437
250	4.628325863
251	4.627717459
252	4.621523867
253	4.614155745
254	4.613737788
255	4.611285436
256	4.608992378
257	4.607515237
258	4.604444652
259	4.602912538
260	4.599132017
261	4.595746981
262	4.589600071
263	4.583933169
264	4.57893748
265	4.578513061
266	4.572262217
267	4.571764601
268	4.569025304
269	4.566350533
270	4.562744478
271	4.558644291
272	4.557980894
273	4.557323591
274	4.552808883
275	4.552325313
276	4.549129887
277	4.545321231
278	4.542911322
279	4.541270886
280	4.538054214
281	4.533383783
282	4.528274726
283	4.524266963
284	4.520199928
285	4.514565942
286	4.512662315
287	4.512276973
288	4.506075767
289	4.503779805
290	4.500962188
291	4.497754967
292	4.495468674
293	4.490911141
294	4.488298107
295	4.487715334
296	4.485538035
297	4.482098528
298	4.47654044
299	4.471553597
300	4.467469129
301	4.46355906
302	4.459938042
303	4.453749581
304	4.453002582
305	4.452691582
306	4.44737373
307	4.447071549
308	4.44327759
309	4.441418129
310	4.436820024
311	4.434829299
312	4.434540196
313	4.4305928
314	4.424375103
315	4.422891889
316	4.419014839
317	4.415508899
318	4.413622634
319	4.413401063
320	4.409060504
321	4.405669304
322	4.402412179
323	4.398754382
324	4.397117472
325	4.394855292
326	4.393560597
327	4.393226879
328	4.38879132
329	4.385491226
330	4.382418517
331	4.377816762
332	4.377492791
333	4.375359656
334	4.370489751
335	4.368253279
336	4.364583962
337	4.360465415
338	4.359964149
