iter	Passed	Remaining
0	134	133935
1	134	67316
2	135	45043
3	136	33895
4	136	27208
5	137	22741
6	137	19541
7	138	17139
8	138	15271
9	139	13783
10	139	12566
11	140	11553
12	140	10690
13	141	9951
14	141	9309
15	142	8748
16	142	8256
17	143	7813
18	143	7417
19	144	7061
20	144	6738
21	145	6459
22	145	6193
23	146	5949
24	146	5723
25	147	5515
26	147	5324
27	148	5146
28	148	4979
29	149	4823
30	149	4682
31	150	4547
32	150	4420
33	151	4299
34	151	4187
35	152	4080
36	152	3978
37	153	3880
38	153	3789
39	154	3700
40	154	3618
41	155	3543
42	155	3468
43	156	3396
44	156	3326
45	157	3260
46	157	3197
47	158	3137
48	158	3080
49	159	3024
50	159	2970
51	160	2918
52	160	2872
53	161	2824
54	161	2777
55	162	2732
56	162	2689
57	162	2646
58	163	2606
59	163	2567
60	164	2529
61	164	2492
62	165	2457
63	165	2422
64	166	2390
65	166	2358
66	167	2326
67	167	2296
68	168	2267
69	168	2238
70	169	2213
71	169	2185
72	170	2159
73	170	2134
74	170	2108
75	171	2084
76	171	2060
77	172	2037
78	172	2015
79	173	1994
80	173	1971
81	174	1951
82	174	1930
83	175	1910
84	175	1889
85	175	1870
86	176	1850
87	176	1833
88	177	1815
89	177	1798
90	178	1781
91	178	1764
92	179	1747
93	179	1731
94	180	1715
95	180	1700
96	181	1685
97	181	1670
98	181	1655
99	182	1641
100	182	1628
101	183	1613
102	183	1600
103	184	1587
104	184	1573
105	185	1560
106	185	1548
107	185	1535
108	186	1523
109	186	1511
110	187	1500
111	187	1489
112	188	1477
113	188	1466
114	189	1455
115	189	1444
116	190	1434
117	190	1423
118	190	1413
119	191	1403
120	191	1393
121	192	1383
122	192	1375
123	193	1366
124	193	1356
125	194	1347
126	194	1338
127	195	1329
128	195	1320
129	196	1311
130	196	1303
131	196	1295
132	197	1286
133	197	1279
134	198	1271
135	198	1263
136	199	1256
137	199	1249
138	200	1243
139	201	1236
140	201	1229
141	202	1222
142	202	1215
143	203	1208
144	203	1201
145	204	1195
146	204	1189
147	205	1182
148	205	1176
149	206	1168
150	206	1162
151	207	1156
152	207	1149
153	208	1143
154	209	1139
155	209	1134
156	210	1127
157	210	1121
158	211	1116
159	211	1110
160	212	1105
161	212	1099
162	213	1094
163	213	1089
164	214	1085
165	215	1081
166	215	1076
167	216	1071
168	216	1066
169	217	1061
170	217	1056
171	218	1051
172	218	1046
173	219	1042
174	220	1037
175	220	1033
176	221	1028
177	221	1024
178	222	1019
179	222	1015
180	223	1010
181	223	1006
182	224	1002
183	225	998
184	225	995
185	226	991
186	227	987
187	227	983
188	228	979
189	228	976
190	229	972
191	230	968
192	230	965
193	231	961
194	232	958
195	232	954
196	233	950
197	233	946
198	234	943
199	234	939
200	235	936
201	236	932
202	236	929
203	237	925
204	237	921
205	238	918
206	238	914
207	239	910
208	239	907
209	240	904
210	241	901
211	241	897
212	242	894
213	242	891
214	243	887
215	243	884
216	244	880
217	244	877
218	245	873
219	245	870
220	246	867
221	246	864
222	247	860
223	247	857
224	247	854
225	248	850
226	248	847
227	249	844
228	249	841
229	250	837
230	250	834
231	251	831
232	251	828
233	252	825
234	253	823
235	253	821
236	254	819
237	254	816
238	255	813
239	255	810
240	256	807
241	256	804
242	257	801
243	257	799
244	258	796
245	259	794
246	259	791
247	260	788
248	260	785
249	261	783
250	261	780
251	262	778
252	262	775
253	263	773
254	263	770
255	264	768
256	264	765
257	265	762
258	265	760
259	266	757
260	266	754
261	267	752
262	267	750
263	268	748
264	268	745
265	269	743
266	270	741
267	270	739
268	271	736
269	271	734
270	272	732
271	272	730
272	273	728
273	274	726
274	274	724
275	275	723
276	276	721
277	276	719
278	277	716
279	278	715
280	278	713
281	279	711
282	280	709
283	280	707
284	281	706
285	282	704
286	282	702
287	283	700
288	284	699
